Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
"Verify the name,group field for special characters.",EL-85,10124,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,06/Sep/21 7:38 AM,07/Sep/21 9:58 AM,07/Sep/21 4:05 AM,07/Sep/21 9:58 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-84,EL-76,,,,,,,,,,,,{},,,,,,,0|i000br:,,EL Sprint 1,,,,,,,,Done
"Verify the name,group field for 256 cjharacters.",EL-84,10123,Test,Blocked,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,06/Sep/21 7:32 AM,07/Sep/21 9:11 AM,09/Sep/21 4:53 AM,,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-83,EL-76,,,,,,,,,,,,{},,,,,,,0|i000bj:,,EL Sprint 1,,,,,,,,In Progress
"Verify the name,group field for null value.",EL-83,10122,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,06/Sep/21 7:30 AM,07/Sep/21 9:59 AM,07/Sep/21 4:28 AM,07/Sep/21 9:59 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-82,EL-76,,,,,,,,,,,,{},,,,,,,0|i000bb:,,EL Sprint 1,,,,,,,,Done
"Verify the name,group field for numeric value.",EL-82,10121,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,06/Sep/21 7:29 AM,07/Sep/21 4:55 AM,09/Sep/21 4:53 AM,07/Sep/21 4:55 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-77,EL-76,,,,,,,,,,,,{},,,,,,,0|i000b3:,,EL Sprint 1,,,,,,,,Done
"Verify the name,group field for alphabetic value.",EL-77,10116,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,06/Sep/21 7:04 AM,07/Sep/21 9:58 AM,09/Sep/21 4:53 AM,07/Sep/21 9:58 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-57,EL-76,,,,,,,,,,,,{},,,,,,,0|i000av:,,EL Sprint 1,,,,,,,,Done
"As a user I want to filter my friend and group name in search section of ""My Friends"" and ""My Group"" so that I would be able to search required name in Social Networks.",EL-76,10115,Story,Blocked,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,06/Sep/21 4:36 AM,07/Sep/21 10:04 AM,09/Sep/21 4:17 AM,,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000an:,,EL Sprint 1,,,,,,,,In Progress
Varify group name field for displaying group name.,EL-75,10114,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,04/Sep/21 7:16 PM,07/Sep/21 9:59 AM,09/Sep/21 4:53 AM,07/Sep/21 9:59 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-66,EL-65,,,,,,,,,,,,{},,,,,,,0|i000af:,,EL Sprint 1,,,,,,,,Done
User is able to put 256 characters in search field under My groups.,EL-73,10112,Bug,To Do,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,03/Sep/21 11:22 AM,07/Sep/21 9:12 AM,07/Sep/21 7:31 AM,,,0,"Visiblity of search field

step to reproduce:

1. Go to the application
2. Go to the Social Network tab.
3. Go to My Groups section.
4. Go to search field and type 256 characters.

Expected result :Use should be able type 256 characters.

Actual result :Use is able to type 256 characters

 

!my group search-20210903-112350.JPG|width=310,height=238!",,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,EL-70,EL-65,,EL-64,EL-70,,,03/Sep/21 11:24 AM;ug:6feb0850-d3f8-4ba7-b174-980b666fae0e;my group search-20210903-112350.JPG;https://corporateola100.atlassian.net/secure/attachment/10028/my+group+search-20210903-112350.JPG,,,,,,,,,{},,,,,,,0|i000a7:,,EL Sprint 1,,,,,,,,To Do
Verify the search button for no text.,EL-72,10111,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,03/Sep/21 11:11 AM,07/Sep/21 4:55 AM,07/Sep/21 4:06 AM,07/Sep/21 4:55 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-63,EL-65,,,,,,,,,,,,{},,,,,,,0|i0009z:,,EL Sprint 1,,,,,,,,Done
Verify the search button for text.,EL-71,10110,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,03/Sep/21 11:11 AM,07/Sep/21 4:53 AM,07/Sep/21 4:14 AM,07/Sep/21 4:53 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-62,EL-65,,,,,,,,,,,,{},,,,,,,0|i0009r:,,EL Sprint 1,,,,,,,,Done
Verify the search field for 256 characters.,EL-70,10109,Test,Blocked,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,03/Sep/21 11:06 AM,07/Sep/21 9:11 AM,07/Sep/21 4:22 AM,,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-61,EL-65,,,,,,,,,,,,{},,,,,,,0|i0009j:,,EL Sprint 1,,,,,,,,In Progress
Verify the search field for special characters.,EL-69,10108,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,03/Sep/21 11:06 AM,07/Sep/21 4:55 AM,09/Sep/21 4:53 AM,07/Sep/21 4:55 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-60,EL-65,,,,,,,,,,,,{},,,,,,,0|i0009b:,,EL Sprint 1,,,,,,,,Done
Verify the search field for null value.,EL-68,10107,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,03/Sep/21 10:58 AM,07/Sep/21 4:55 AM,07/Sep/21 4:15 AM,07/Sep/21 4:55 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-59,EL-65,,,,,,,,,,,,{},,,,,,,0|i00093:,,EL Sprint 1,,,,,,,,Done
Verify the search field for numeric value.,EL-67,10106,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,03/Sep/21 10:56 AM,07/Sep/21 9:57 AM,07/Sep/21 4:20 AM,07/Sep/21 9:57 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-58,EL-65,,,,,,,,,,,,{},,,,,,,0|i0008v:,,EL Sprint 1,,,,,,,,Done
Verify the search field for alphabetic value.,EL-66,10105,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,03/Sep/21 10:54 AM,07/Sep/21 9:58 AM,07/Sep/21 3:52 AM,07/Sep/21 9:58 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-57,EL-65,,,,,,,,,,,,{},,,,,,,0|i0008n:,,EL Sprint 1,,,,,,,,Done
As a user I want to type text in the search field so that I would be able to search a group under my groups in Social Networks.,EL-65,10104,Story,Blocked,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,03/Sep/21 10:51 AM,07/Sep/21 7:12 AM,07/Sep/21 7:12 AM,,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-56,,,,,,,,,,,,,{},,,,,,,0|i0008f:,,EL Sprint 1,,,,,,,,In Progress
User is able to put 256 characters in search field under My friends.,EL-64,10103,Bug,To Do,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,03/Sep/21 10:47 AM,07/Sep/21 9:08 AM,07/Sep/21 7:32 AM,,,0,"Visiblity of search field

step to reproduce:

1. Go to the application
2. Go to the Social Network tab.
3. Go to My Friends section.
4. Go to search field and type 256 characters.

Expected result :Use should be able type 256 characters.

Actual result :Use is able to type 256 characters

 !image-2021-09-03-16-17-27-978.png|thumbnail! ",,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,EL-61,EL-56,,,EL-61,,,03/Sep/21 10:47 AM;ug:6feb0850-d3f8-4ba7-b174-980b666fae0e;image-2021-09-03-16-17-27-978.png;https://corporateola100.atlassian.net/secure/attachment/10027/image-2021-09-03-16-17-27-978.png,,,,,,,,,{},,,,,,,0|i0007f:,,EL Sprint 1,,,,,,,,To Do
Verify the search button for no text.,EL-63,10102,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,03/Sep/21 10:25 AM,07/Sep/21 4:55 AM,07/Sep/21 3:59 AM,07/Sep/21 4:55 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-62,EL-56,,,,,,,,,,,,{},,,,,,,0|i0009n:,,EL Sprint 1,,,,,,,,Done
Verify the search button for text.,EL-62,10101,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,03/Sep/21 10:15 AM,07/Sep/21 4:54 AM,07/Sep/21 4:13 AM,07/Sep/21 4:54 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-21,EL-56,,,,,,,,,,,,{},,,,,,,0|i0007r:,,EL Sprint 1,,,,,,,,Done
